saledate,saledate_y,ward,age,rmdl,ttl_bathrms,heat_d,ac,num_units,rooms,bedrms,stories,log_gba,extwall_d,roof_d,floor_d,kitchens,fireplaces,landarea,price,log_price
2019-10-03,2019,4,91 to 100,Yes,3.5,Hot Water,No,1,7,4,2 or Fewer,7.305188215393037,Brick,Metal,Hard,1,1,"1,000 to 1,999",885100.0,13.693455911956969
2019-10-03,2019,7,71 to 80,Yes,2,Forced Air,Yes,1,6,3,2 or Fewer,6.899723107284872,Brick,Flat,Hard,1,0,"1,000 to 1,999",415000.0,12.936033799212835
2019-10-03,2019,3,91 to 100,Yes,3.5,Hot Water,Yes,1,9,4,2 or Fewer,7.484368643286131,Brick,Tile,Hard,2 or More,1,"2,000 to 4,999",1250000.0,14.038654109278484
2019-10-03,2019,8,71 to 80,Yes,3,Dual Climate,Yes,2 or More,6,4,2 or Fewer,7.742402021815782,Brick,Flat,Hard,2 or More,0,"2,000 to 4,999",500000.0,13.122363377404328
2019-10-03,2019,7,10 or Fewer,No,3.5,Forced Air,Yes,1,7,4,2.5 or More,7.505492274737424,Brick,Flat,Hard,1,1,999 or Fewer,596190.0,13.29831468719044
2019-10-03,2019,7,71 to 80,Yes,1.5,Forced Air,Yes,1,5 or Fewer,2 or Fewer,2 or Fewer,6.684611727667927,Brick,Shingle,Hard,1,0,"2,000 to 4,999",340000.0,12.736700896592344
2019-10-03,2019,4,81 to 90,Yes,3.5,Forced Air,Yes,1,7,5 or More,2 or Fewer,7.333023014386481,Brick,Metal,Hard,2 or More,0,"1,000 to 1,999",772000.0,13.556739829006913
2019-10-03,2019,5,10 or Fewer,No,2.5,Forced Air,Yes,1,6,3,2 or Fewer,7.426549072397305,Brick,Shingle,Hard,1,0,"1,000 to 1,999",586000.0,13.281075068559149
2019-10-04,2019,6,101 to 110,Yes,2,Forced Air,Yes,1,5 or Fewer,2 or Fewer,2 or Fewer,6.815639990074331,Brick,Flat,Hard,1,1,"1,000 to 1,999",649000.0,13.383187995686226
2019-10-04,2019,6,111 or More,Yes,4 or More,Hot Water,Yes,1,9,5 or More,2 or Fewer,7.644919344958857,Brick,Metal,Hard,1,0,"2,000 to 4,999",2199000.0,14.603513269536899
2019-10-04,2019,7,61 to 70,Yes,2.5,Dual Climate,Yes,1,8,3,2 or Fewer,6.99117688712121,Brick,Shingle,Hard,1,0,"2,000 to 4,999",390000.0,12.873902018105829
2019-10-04,2019,6,111 or More,Yes,1,Forced Air,Yes,1,5 or Fewer,2 or Fewer,2 or Fewer,6.933423025730715,Brick,Metal,Hard,1,1,999 or Fewer,759000.0,13.539757056377766
2019-10-04,2019,5,91 to 100,Yes,2,Forced Air,Yes,1,5 or Fewer,3,2 or Fewer,6.738152494595957,Siding and Stucco,Shingle,Hard,1,0,"2,000 to 4,999",560000.0,13.235692062711331
2019-10-04,2019,4,71 to 80,No,3,Forced Air,Yes,1,7,4,2 or Fewer,7.395107546562485,Brick,Shingle,Hard,1,1,"2,000 to 4,999",550000.0,13.217673557208654
2019-10-07,2019,4,61 to 70,Yes,3,Forced Air,Yes,1,8,4,2 or Fewer,7.4127640174265625,Brick,Shingle,Hard,1,1,"5,000 or More",740000.0,13.514405465180353
